College Name,Location,College Type,Facilities,Rating
"Government Polytechnic, Jhajjar","Jhajjar, Haryana",Public/Govt,"Laboratories, Library, I.T Infrastructure, Convenience Store, Guest Room/Waiting Room, Sports, Auditorium, Medical/Hospital, Gym, Cafeteria, Boys Hostel, Girls Hostel, Workshops, Extra Curricular Activities, Training and Placement Cell, Classrooms",N/A
"Government Polytechnic, Jhansi","Jhansi, Uttar Pradesh",Public/Govt,"Library, Laboratories, I.T Infrastructure, Boys Hostel, Girls Hostel, Sports, Medical/Hospital, Cafeteria, Guest Room/Waiting Room, Classrooms",N/A
"Government Polytechnic, Jintur","Jintur, Maharashtra",Public/Govt,"Boys Hostel, Girls Hostel, Library, Convenience Store, Alumni Associations, Laboratories, I.T Infrastructure, Sports, Auditorium, Cafeteria, Guest Room/Waiting Room",5.0/5
"Government Polytechnic Jogipet, Medak","Medak, Telangana",Public/Govt,"Library, Laboratories, I.T Infrastructure",N/A
"Government Polytechnic, Joida","Joida, Karnataka",Public/Govt,"Girls Hostel, Library, I.T Infrastructure, Alumni Associations, Laboratories, Boys Hostel, Cafeteria, Medical/Hospital, Sports, Training and Placement Cell, Extra Curricular Activities",N/A
"Government Polytechnic, Joshimath","Chamoli, Uttarakhand",Public/Govt,"Library, Laboratories, I.T Infrastructure, Auditorium, Sports, Medical/Hospital, Workshops, Classrooms, Smart Classrooms, Wifi, Training and Placement Cell",N/A
"Government Polytechnic, Junagadh","Junagadh, Gujarat",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Laboratories, Auditorium, Medical/Hospital, Workshops, Extra Curricular Activities, Training and Placement Cell, Smart Classrooms, Classrooms",N/A
"Government Polytechnic, Kabirdham","Kabirdham, Chhattisgarh",Public/Govt,"Library, Girls Hostel, Sports, Laboratories, Alumni Associations, Cafeteria, Boys Hostel, Extra Curricular Activities",N/A
"Government Polytechnic, Kadiri","Anantapur, Andhra Pradesh",Public/Govt,"Library, Sports, Laboratories, I.T Infrastructure, Medical/Hospital, Classrooms",N/A
"Government Polytechnic, Kaimur","Kaimur, Bihar",Public/Govt,"Library, Laboratories, I.T Infrastructure, Boys Hostel, Girls Hostel, Sports, Guest Room/Waiting Room, Auditorium, Cafeteria, Medical/Hospital, Training and Placement Cell",N/A
"Government Polytechnic, Kaladhungi","Kaladhungi, Uttarakhand",Public/Govt,"Library, I.T Infrastructure, Laboratories, Sports, Boys Hostel, Girls Hostel, Medical/Hospital, Auditorium, Guest Room/Waiting Room, Classrooms, Training and Placement Cell",N/A
"Government Polytechnic, Kalahandi","Parmanandapur, Odisha",Public/Govt,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, I.T Infrastructure, Laboratories, Banks/ATMs, Sports, Cafeteria, Alumni Associations",N/A
"Government Polytechnic, Kalgi","Gulbarga, Karnataka",Public/Govt,"I.T Infrastructure, Laboratories, Library, Sports, Classrooms",N/A
"Government Polytechnic, Kalidindi","Krishna, Andhra Pradesh",Public/Govt,"Library, Laboratories, Sports, Classrooms",N/A
"Government Polytechnic, Kalikiri","Anantapur, Andhra Pradesh",Public/Govt,"Library, Sports, Laboratories, Classrooms, I.T Infrastructure, Training and Placement Cell, Alumni Associations",N/A
"Government Polytechnic, Kalyandurg","Kalyandurg, Andhra Pradesh",Public/Govt,"Library, Laboratories, Auditorium, Cafeteria, I.T Infrastructure, Sports, Classrooms, Alumni Associations, Training and Placement Cell",N/A
"Government Polytechnic, Kamadolli","Dharwad, Karnataka",Public/Govt,"Library, I.T Infrastructure, Laboratories, Sports",N/A
"Government Polytechnic, Kamalapuram","Kadapa, Andhra Pradesh",Public/Govt,"Library, Laboratories, Sports, I.T Infrastructure, Classrooms",N/A
"Government Polytechnic, Kampli","Bellary, Karnataka",Public/Govt,"Library, Laboratories, Alumni Associations, Sports, I.T Infrastructure, Classrooms, Smart Classrooms, Extra Curricular Activities, Training and Placement Cell, Workshops, Auditorium, Cafeteria",N/A
"Government Polytechnic, Kanalichhina","Kanalichinna, Uttarakhand",Public/Govt,"Library, Sports, Laboratories, I.T Infrastructure, Classrooms, Medical/Hospital, Guest Room/Waiting Room, Training and Placement Cell, Workshops",N/A
"Government Polytechnic Kanda, Bageshwar","Kanda, Uttarakhand",Public/Govt,"Boys Hostel, Library, Laboratories, I.T Infrastructure, Sports, Guest Room/Waiting Room, Alumni Associations, Training and Placement Cell, Club, Mess, Workshops, Classrooms, Medical/Hospital",N/A
"Government Polytechnic, Kandhamal","Kandhamal, Odisha",Public/Govt,"Library, Laboratories, Alumni Associations, I.T Infrastructure, Sports, Auditorium, Medical/Hospital, Cafeteria, Guest Room/Waiting Room, Boys Hostel, Girls Hostel, Classrooms, Training and Placement Cell",N/A
"Government Polytechnic Kandikhal, Tehri Garhwal","Kandikhal, Uttarakhand",Public/Govt,"Library, Sports, I.T Infrastructure, Auditorium, Laboratories, Cafeteria, Guest Room/Waiting Room, Parking Facility, Training and Placement Cell, Classrooms, Workshops, Medical/Hospital",N/A
"Government Polytechnic, Kandukur","Prakasam, Andhra Pradesh",Public/Govt,"Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, I.T Infrastructure, Sports, Gym, Classrooms, Alumni Associations",N/A
"Government Polytechnic, Kangra","Kangra, Himachal Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Laboratories, Guest Room/Waiting Room, Transport Facility, Wifi, Classrooms, Training and Placement Cell",N/A
"Government Polytechnic, Kanker","Kanker, Chhattisgarh",Public/Govt,"Library, Sports, I.T Infrastructure, Laboratories, Cafeteria, Alumni Associations, Medical/Hospital, Training and Placement Cell, Extra Curricular Activities, Workshops",N/A
"Government Polytechnic, Kanpur","Kanpur, Uttar Pradesh",Public/Govt,"Library, Laboratories, Boys Hostel, Girls Hostel, Sports, Cafeteria, Guest Room/Waiting Room, Medical/Hospital, I.T Infrastructure, Workshops, Extra Curricular Activities, Mess, Classrooms",N/A
"Government Polytechnic, Kapkot","Bageshwar, Uttarakhand",Public/Govt,"Library, Laboratories, I.T Infrastructure, Medical/Hospital, Guest Room/Waiting Room, Classrooms, Sports, Training and Placement Cell",N/A
"Government Polytechnic, Karad","Karad, Maharashtra",Public/Govt,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Alumni Associations, Laboratories, Guest Room/Waiting Room, Auditorium, Cafeteria, Medical/Hospital",N/A
"Government Polytechnic, Karatagi","Koppal, Karnataka",Public/Govt,"Library, Laboratories, I.T Infrastructure, Classrooms, Medical/Hospital, Training and Placement Cell, Workshops, Sports, Boys Hostel, Girls Hostel",N/A
"Government Polytechnic, Karkala","Bidar, Karnataka",Public/Govt,"Library, Laboratories, I.T Infrastructure, Sports, Medical/Hospital, Gym, Cafeteria",N/A
"Government Polytechnic, Karwar","Karwar, Karnataka",Public/Govt,"Library, Laboratories, I.T Infrastructure, Sports, Medical/Hospital, Cafeteria, Guest Room/Waiting Room",N/A
"Government Polytechnic, Kashipur","Kashipur, Uttarakhand",Public/Govt,"Library, I.T Infrastructure, Laboratories, Boys Hostel, Girls Hostel, Sports, Cafeteria, Medical/Hospital, Guest Room/Waiting Room, Classrooms, Training and Placement Cell",N/A
"Government Polytechnic, Kataram","Karimnagar, Telangana",Public/Govt,"Library, Laboratories, Sports, I.T Infrastructure, Medical/Hospital, Cafeteria, Classrooms",N/A
"Government Polytechnic, Katihar","Katihar, Bihar",Public/Govt,"Boys Hostel, Girls Hostel, Laboratories, Medical/Hospital, Library, Sports, Cafeteria, Guest Room/Waiting Room, Wifi, I.T Infrastructure, Alumni Associations, Training and Placement Cell",N/A
"Government Polytechnic, Kavali","Nellore, Andhra Pradesh",Public/Govt,"Library, Laboratories, Sports, Auditorium, Gym, I.T Infrastructure, Cafeteria, Guest Room/Waiting Room, Medical/Hospital, Classrooms",N/A
"Government Polytechnic Kenaura, Sultanpur","Sultanpur, Uttar Pradesh",Public/Govt,"Girls Hostel, Sports, Library, Laboratories, I.T Infrastructure, Medical/Hospital, Training and Placement Cell, Boys Hostel, Laboratories",N/A
"Government Polytechnic, Kendrapara","Kendrapara, Odisha",Public/Govt,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Cafeteria, Laboratories, Sports, Medical/Hospital, Guest Room/Waiting Room, Alumni Associations, Training and Placement Cell",N/A
"Government Polytechnic, Khagaria","Khagaria, Bihar",Public/Govt,"I.T Infrastructure, Library, Boys Hostel, Girls Hostel, Sports, Medical/Hospital, Guest Room/Waiting Room, Wifi, Workshops, Training and Placement Cell, Cafeteria",N/A
"Government Polytechnic, Khairagarh","Lalpur, Chhattisgarh",Public/Govt,"Laboratories, Library, I.T Infrastructure, Sports, Medical/Hospital, Classrooms, Alumni Associations, Extra Curricular Activities",N/A
"Government Polytechnic, Khamgaon","Khamgaon, Maharashtra",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Laboratories, Convenience Store, Medical/Hospital, Guest Room/Waiting Room",5.0/5
"Government Polytechnic, Kharsawan","Kharsawan, Jharkhand",Public/Govt,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Laboratories, Wifi, Auditorium, Cafeteria, Guest Room/Waiting Room, Medical/Hospital",5.0/5
"Government Polytechnic, Khatima","Khatima, Uttarakhand",Public/Govt,"Library, Sports, I.T Infrastructure, Laboratories, Medical/Hospital, Classrooms",N/A
"Government Polytechnic, Kheda","Kheda, Gujarat",Public/Govt,"Sports, Library, Laboratories, I.T Infrastructure, Cafeteria, Medical/Hospital, Wifi, Workshops, Extra Curricular Activities, Training and Placement Cell, Smart Classrooms, Classrooms",N/A
"Government Polytechnic, Khonsa","Khonsa, Arunachal Pradesh",Public/Govt,"Boys Hostel, Girls Hostel",N/A
"Government Polytechnic, Khutri","Bokaro, Jharkhand",Public/Govt,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Laboratories, Auditorium, Cafeteria, Guest Room/Waiting Room, Medical/Hospital, Sports, Training and Placement Cell",N/A
"Government Polytechnic, Kinnaur","Kinnaur, Himachal Pradesh",Public/Govt,"Library, Laboratories, Transport Facility, Auditorium, Cafeteria, Medical/Hospital, I.T Infrastructure, Sports, Guest Room/Waiting Room, Boys Hostel, Girls Hostel, Classrooms",N/A
"Government Polytechnic, Kishanganj","Kishanganj, Bihar",Public/Govt,"I.T Infrastructure, Library, Boys Hostel, Girls Hostel, Sports, Medical/Hospital, Guest Room/Waiting Room, Wifi, Alumni Associations, Gym, Cafeteria, Laboratories, Training and Placement Cell",N/A
"Government Polytechnic, Kodagu","Kodagu, Karnataka",Public/Govt,"Library, Laboratories, I.T Infrastructure, Sports, Boys Hostel, Girls Hostel, Classrooms, Cafeteria, Auditorium",N/A
"Government Polytechnic, Koderma","Koderma, Jharkhand",Public/Govt,"Boys Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Girls Hostel, Laboratories, Auditorium, Gym, Guest Room/Waiting Room",N/A
"Government Polytechnic, Kohima","Kohima, Nagaland",Public/Govt,"Girls Hostel, Library, Wifi, Auditorium, I.T Infrastructure, Cafeteria, Laboratories, Medical/Hospital, Sports, Transport Facility, Boys Hostel",N/A
"Government Polytechnic, Kolar Gold Fields","Kolar Gold Fields, Karnataka",Public/Govt,"Library, Laboratories, I.T Infrastructure, Sports, Auditorium, Medical/Hospital, Classrooms, Training and Placement Cell, Extra Curricular Activities",N/A
"Government Polytechnic, Kolhapur","Kolhapur, Maharashtra",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Alumni Associations, Laboratories, Gym, Guest Room/Waiting Room, Medical/Hospital",N/A
"Government Polytechnic, Koppal","Koppal, Karnataka",Public/Govt,"Library, Sports, I.T Infrastructure, Laboratories, Boys Hostel, Girls Hostel, Cafeteria, Medical/Hospital, Convenience Store",N/A
"Government Polytechnic, Koraput","Jeypore, Odisha",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Alumni Associations, Laboratories, Guest Room/Waiting Room, Training and Placement Cell, Workshops",N/A
"Government Polytechnic, Koratla","Karimnagar, Telangana",Public/Govt,"Medical/Hospital, Sports, Laboratories, I.T Infrastructure, Library",N/A
"Government Polytechnic, Korba","Korba, Chhattisgarh",Public/Govt,"Boys Hostel, Girls Hostel, Library, Laboratories, Medical/Hospital, I.T Infrastructure, Sports, Classrooms, Alumni Associations, Extra Curricular Activities, Training and Placement Cell, Workshops",N/A
"Government Polytechnic, Kotabagh","Nainital, Uttarakhand",Public/Govt,"Boys Hostel, Girls Hostel, Medical/Hospital, Wifi, Library, I.T Infrastructure, Cafeteria, Guest Room/Waiting Room, Sports, Laboratories, Alumni Associations, Classrooms, Training and Placement Cell, Smart Classrooms",4.0/5
"Government Polytechnic, Kotana, Baghpat","Baghpat, Uttar Pradesh",Public/Govt,"Library, Sports, I.T Infrastructure, Laboratories, Boys Hostel, Girls Hostel, Alumni Associations",N/A
"Government Polytechnic, Kotdwar","Kotdwara, Uttarakhand",Public/Govt,"Library, Sports, I.T Infrastructure, Alumni Associations, Laboratories, Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Cafeteria, Guest Room/Waiting Room, Classrooms, Training and Placement Cell",N/A
"Government Polytechnic, Kotgir","Nizamabad, Telangana",Public/Govt,"Medical/Hospital, Sports, Library, Laboratories",N/A
"Government Polytechnic, Kothagudem","Bhadradri Kothagudem, Telangana",Public/Govt,"Sports, I.T Infrastructure, Alumni Associations, Laboratories, Boys Hostel, Auditorium, Library, Cafeteria, Girls Hostel",4.0/5
"Government Polytechnic Kotwan, Mathura","Mathura, Uttar Pradesh",Public/Govt,"Library, Sports, Laboratories, I.T Infrastructure, Auditorium, Gym, Medical/Hospital, Boys Hostel, Girls Hostel, Guest Room/Waiting Room, Cafeteria, Training and Placement Cell",2.0/5
"Government Polytechnic, Kudligi","Bellary, Karnataka",Public/Govt,"Library, Laboratories, Sports, Medical/Hospital, I.T Infrastructure, Extra Curricular Activities, Training and Placement Cell, Boys Hostel, Girls Hostel, Classrooms",N/A
"Government Polytechnic, Kullu","Biasar, Himachal Pradesh",Public/Govt,"Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Wifi, Laboratories, Guest Room/Waiting Room, Classrooms",N/A
"Government Polytechnic, Kulsari","Chamoli, Uttarakhand",Public/Govt,"Library, Laboratories, Sports, I.T Infrastructure, Cafeteria, Guest Room/Waiting Room, Classrooms, Alumni Associations, Training and Placement Cell, Extra Curricular Activities",N/A
"Government Polytechnic, Kursi Road, Barabanki","Barabanki, Uttar Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, Laboratories, Library, Medical/Hospital, I.T Infrastructure, Cafeteria, Classrooms, Auditorium, Guest Room/Waiting Room",N/A
"Government Polytechnic, Kuru Pindra, Varanasi","Varanasi, Uttar Pradesh",Public/Govt,"Library, Sports, I.T Infrastructure, Laboratories, Boys Hostel, Girls Hostel, Auditorium, Cafeteria, Medical/Hospital, Classrooms, Guest Room/Waiting Room",N/A
"Government Polytechnic, Kushalnagar","Kodagu, Karnataka",Public/Govt,"Library, Sports, I.T Infrastructure, Alumni Associations, Laboratories, Boys Hostel, Girls Hostel, Auditorium, Cafeteria, Medical/Hospital, Guest Room/Waiting Room",N/A
"Government Polytechnic, Kushtagi","Koppal, Karnataka",Public/Govt,"Library, Laboratories, Auditorium, Cafeteria, I.T Infrastructure, Medical/Hospital, Sports",N/A
"Government Polytechnic, Lahaul and Spiti","Udaipur, Himachal Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Transport Facility, Laboratories, Auditorium, Cafeteria, Guest Room/Waiting Room",N/A
"Government Polytechnic, Lakhimpur Kheri","Lakhimpur Kheri, Uttar Pradesh",Public/Govt,"Library, I.T Infrastructure, Sports, Boys Hostel, Girls Hostel, Laboratories, Cafeteria, Medical/Hospital, Guest Room/Waiting Room, Classrooms, Auditorium",N/A
"Government Polytechnic, Lakhisarai","Lakhisarai, Bihar",Public/Govt,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Laboratories, I.T Infrastructure, Wifi, Guest Room/Waiting Room, Sports, Auditorium, Gym, Cafeteria, Classrooms, Alumni Associations, Training and Placement Cell",N/A
"Government Polytechnic, Lalitpur","Lalitpur, Uttar Pradesh",Public/Govt,"Auditorium, Laboratories, Library, Sports, I.T Infrastructure, Boys Hostel, Girls Hostel, Classrooms, Training and Placement Cell, Guest Room/Waiting Room",N/A
"Government Polytechnic, Lingasugur","Raichur, Karnataka",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Auditorium, Cafeteria, Guest Room/Waiting Room, Laboratories, Medical/Hospital",N/A
"Government Polytechnic, Lohaghat","Lohaghat, Uttarakhand",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Guest Room/Waiting Room, Medical/Hospital, Cafeteria, Gym, Laboratories, Classrooms, Training and Placement Cell, Alumni Associations",N/A
"Government Polytechnic, Lohardaga","Lohardaga, Jharkhand",Public/Govt,"Library, Laboratories, Sports, I.T Infrastructure, Classrooms",N/A
"Government Polytechnic, Lucknow","Lucknow, Uttar Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Cafeteria, Laboratories, Sports, Auditorium, Guest Room/Waiting Room, Classrooms",N/A
"Government Polytechnic, Machilipatnam","Machilipatnam, Andhra Pradesh",Public/Govt,N/A,N/A
"Government Polytechnic, Madakasira","Anantapur, Andhra Pradesh",Public/Govt,"Library, I.T Infrastructure, Sports, Cafeteria, Medical/Hospital, Classrooms, Alumni Associations",N/A
"Government Polytechnic, Madhepura","Madhepura, Bihar",Public/Govt,"Sports, Auditorium, Library, Laboratories, I.T Infrastructure, Cafeteria, Guest Room/Waiting Room, Boys Hostel, Girls Hostel, Medical/Hospital, Wifi, Alumni Associations, Training and Placement Cell",N/A
"Government Polytechnic, Madhira","Khammam, Telangana",Public/Govt,"Library, Medical/Hospital, Sports, Laboratories, I.T Infrastructure",N/A
"Government Polytechnic, Madhogarh","Madhogarh, Uttar Pradesh",Public/Govt,"Laboratories, Library, I.T Infrastructure, Boys Hostel, Girls Hostel, Sports, Medical/Hospital, Cafeteria",N/A
"Government Polytechnic, Madhubani","Madhubani, Bihar",Public/Govt,"Cafeteria, Library, Laboratories, Girls Hostel, Boys Hostel, Medical/Hospital, I.T Infrastructure, Wifi, Sports, Banks/ATMs, Gym, Training and Placement Cell",N/A
"Government Polytechnic, Mahabubnagar","Mahabubnagar, Telangana",Public/Govt,"Library, Medical/Hospital, Sports, Laboratories, I.T Infrastructure, Boys Hostel, Girls Hostel, Cafeteria, Alumni Associations",N/A
"Government Polytechnic, Maharajganj","Maharajganj, Uttar Pradesh",Public/Govt,"Laboratories, Library, I.T Infrastructure, Sports, Auditorium, Classrooms, Guest Room/Waiting Room",N/A
"Government Polytechnic, Mahasamund","Mahasamund, Chhattisgarh",Public/Govt,"Alumni Associations, Sports, Laboratories, Library, Boys Hostel, Guest Room/Waiting Room, I.T Infrastructure, Cafeteria",N/A
"Government Polytechnic, Maheshwaram","Hyderabad, Telangana",Public/Govt,"Library, Laboratories, Auditorium, Sports, Medical/Hospital",N/A
"Government Polytechnic, Mahoba","Mahoba, Uttar Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Laboratories, Parking Facility, Guest Room/Waiting Room, Classrooms, Auditorium",N/A
"Government Polytechnic, Mainpuri","Mainpuri, Uttar Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Alumni Associations, Laboratories, Guest Room/Waiting Room, Classrooms, Auditorium",N/A
"Government Polytechnic, Malab","Nuh, Haryana",Public/Govt,"Library, Laboratories, Sports, I.T Infrastructure, Cafeteria, Classrooms",N/A
"Government Polytechnic, Malkangiri","Malkangiri, Odisha",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Transport Facility, Cafeteria, Laboratories, Auditorium, Medical/Hospital, Guest Room/Waiting Room, Alumni Associations, Training and Placement Cell, Workshops",N/A
"Government Polytechnic, Malla Salam","Almora, Uttarakhand",Public/Govt,"Library, Laboratories, Alumni Associations, I.T Infrastructure, Sports, Classrooms, Auditorium, Cafeteria",N/A
"Government Polytechnic, Malvan","Malvan, Maharashtra",Public/Govt,"Boys Hostel, Girls Hostel, Library, Gym, Alumni Associations, Laboratories, I.T Infrastructure",N/A
"Government Polytechnic, Mandi Adampur","Hisar, Haryana",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Alumni Associations, Laboratories, Gym, Guest Room/Waiting Room, Medical/Hospital, Auditorium, Classrooms",5.0/5
"Government Polytechnic, Mandkola","Palwal, Haryana",Public/Govt,"Library, Laboratories, Sports, Auditorium, Medical/Hospital, I.T Infrastructure, Cafeteria, Guest Room/Waiting Room, Classrooms",N/A
"Government Polytechnic, Mau","Mau, Uttar Pradesh",Public/Govt,"Library, Sports, I.T Infrastructure, Boys Hostel, Girls Hostel, Laboratories, Guest Room/Waiting Room, Wifi, Classrooms, Auditorium",N/A
"Government Polytechnic, Mawana","Mawana, Uttar Pradesh",Public/Govt,N/A,N/A
"Government Polytechnic, Mayurbhanj","Mayurbhanj, Odisha",Public/Govt,"Boys Hostel, Girls Hostel, Library, Cafeteria, Medical/Hospital, Guest Room/Waiting Room, Sports, I.T Infrastructure, Laboratories, Workshops, Training and Placement Cell",N/A
"Government Polytechnic, Medchal","Hyderabad, Telangana",Public/Govt,"I.T Infrastructure, Laboratories, Library, Sports, Cafeteria",N/A
"Government Polytechnic, Meham","Meham, Haryana",Public/Govt,"Laboratories, Library, Auditorium, Alumni Associations, Sports, I.T Infrastructure, Medical/Hospital, Cafeteria, Guest Room/Waiting Room",N/A
"Government Polytechnic, Miraj","Miraj, Maharashtra",Public/Govt,"Library, I.T Infrastructure, Laboratories, Sports, Guest Room/Waiting Room, Cafeteria, Boys Hostel, Girls Hostel, Alumni Associations, Training and Placement Cell, Workshops",N/A
"Government Polytechnic, Mirle","Mysore, Karnataka",Public/Govt,"Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Laboratories, Parking Facility, Boys Hostel, Training and Placement Cell",N/A
"Government Polytechnic, Mirzapur","Mirzapur, Uttar Pradesh",Public/Govt,"Laboratories, Library, Sports, Boys Hostel, Girls Hostel, Medical/Hospital, Cafeteria, Guest Room/Waiting Room, I.T Infrastructure",3.4/5
"Government Polytechnic, Mohammadi Kheri","Mohammdi, Uttar Pradesh",Public/Govt,"Laboratories, Library, I.T Infrastructure, Sports",N/A
"Government Polytechnic, Moradabad","Moradabad, Uttar Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Laboratories, Medical/Hospital, Guest Room/Waiting Room, Alumni Associations, Classrooms, Training and Placement Cell, Club, Auditorium",N/A
"Government Polytechnic, Motihari","Motihari, Bihar",Public/Govt,"Boys Hostel, Girls Hostel, Library, Laboratories, Medical/Hospital, I.T Infrastructure, Gym, Sports, Guest Room/Waiting Room, Alumni Associations, Wifi, Training and Placement Cell",N/A
"Government Polytechnic, Mudhol","Bagalkot, Karnataka",Public/Govt,"Library, Laboratories, I.T Infrastructure, Sports, Classrooms, Extra Curricular Activities, Workshops, Auditorium, Cafeteria",N/A
"Government Polytechnic Mujahana Hata, Kushinagar","Kushinagar, Uttar Pradesh",Public/Govt,"Library, Laboratories, Sports, Boys Hostel, Alumni Associations, Auditorium, Parking Facility, Girls Hostel, Training and Placement Cell",N/A
"Government Polytechnic, Mulbagal","Kolar, Karnataka",Public/Govt,"Library, Sports, I.T Infrastructure, Laboratories",N/A
"Government Polytechnic, Mumbai","Mumbai, Maharashtra",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Auditorium, Alumni Associations, Laboratories, Cafeteria",4.0/5
"Government Polytechnic, Munakot","Pithoragarh, Uttarakhand",Public/Govt,"Library, I.T Infrastructure, Medical/Hospital, Laboratories, Training and Placement Cell, Classrooms, Workshops, Alumni Associations",N/A
"Government Polytechnic, Mungeli","Mungeli, Chhattisgarh",Public/Govt,"Laboratories, Library, I.T Infrastructure, Medical/Hospital",N/A
"Government Polytechnic, Munger","Munger, Bihar",Public/Govt,"Boys Hostel, Girls Hostel, I.T Infrastructure, Library, Medical/Hospital, Guest Room/Waiting Room, Wifi, Cafeteria, Sports, Parking Facility, Gym, Alumni Associations, Laboratories, Classrooms, Training and Placement Cell, Club",N/A
"Government Polytechnic, Murtizapur","Murtizapur, Maharashtra",Public/Govt,"Boys Hostel, Girls Hostel, Gym, Sports, Cafeteria, Convenience Store, Laboratories, Alumni Associations, Auditorium, Library, Medical/Hospital, Guest Room/Waiting Room, I.T Infrastructure, Classrooms, Workshops, Training and Placement Cell",N/A
"Government Polytechnic, Muzaffarpur","Muzaffarpur, Bihar",Public/Govt,"Boys Hostel, Library, I.T Infrastructure, Laboratories, Girls Hostel, Sports, Auditorium, Gym, Guest Room/Waiting Room, Medical/Hospital, Wifi, Club, Banks/ATMs, Training and Placement Cell",N/A
"Government Polytechnic, Mydukur","Kadapa, Andhra Pradesh",Public/Govt,"Library, Laboratories, I.T Infrastructure, Sports, Classrooms",N/A
"Government Polytechnic, Nabarangpur","Agnipur, Odisha",Public/Govt,"Boys Hostel, Girls Hostel, Library, Laboratories, Transport Facility, Alumni Associations, Cafeteria, Auditorium, Medical/Hospital, Gym, Guest Room/Waiting Room, I.T Infrastructure, Sports, Training and Placement Cell",N/A
"Government Polytechnic, Nagamangala","Mandya, Karnataka",Public/Govt,"Library, Laboratories, I.T Infrastructure, Boys Hostel, Cafeteria, Auditorium, Sports, Girls Hostel, Alumni Associations, Medical/Hospital",N/A
"Government Polytechnic, Nagarjuna Sagar","Nalgonda, Telangana",Public/Govt,N/A,N/A
"Government Polytechnic, Nagpur","Nagpur, Maharashtra",Public/Govt,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Alumni Associations, Laboratories, Cafeteria",4.3/5
"Government Polytechnic, Nainital","Nainital, Uttarakhand",Public/Govt,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Alumni Associations, Laboratories, Sports, Cafeteria, Auditorium, Medical/Hospital, Guest Room/Waiting Room, Classrooms, Workshops",5.0/5
"Government Polytechnic, Nalgonda","Nalgonda, Telangana",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, Laboratories, I.T Infrastructure, Medical/Hospital, Cafeteria",N/A
"Government Polytechnic, Nanakpur","Panchkula, Haryana",Public/Govt,"Library, Laboratories, Cafeteria, Convenience Store, I.T Infrastructure, Sports, Auditorium, Medical/Hospital, Classrooms, Guest Room/Waiting Room",N/A
"Government Polytechnic, Nanded","Nanded, Maharashtra",Public/Govt,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Alumni Associations, Laboratories, Cafeteria, Sports, Gym, Auditorium, Guest Room/Waiting Room",4.3/5
"Government Polytechnic, Nandipet","Nizamabad, Telangana",Public/Govt,"Library, Laboratories, I.T Infrastructure, Girls Hostel, Boys Hostel",N/A
"Government Polytechnic, Nandurbar","Nandurbar, Maharashtra",Public/Govt,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Laboratories, Cafeteria, Gym, Auditorium, Medical/Hospital, Alumni Associations, Sports, Training and Placement Cell",N/A
